,cold,drought,genotoxic,heat,osmotic,salt,UVB,Wounding
At1g33950,0,0,0,0,0,0,1,0
At1g33960,0,0,0,0,0,0,0,1
At1g33970,0,0,0,0,0,0,1,0
At1g34010,0,0,0,1,0,0,0,0
At1g34180,0,0,0,0,0,0,1,0
At1g34190,0,0,0,0,0,0,1,0
At1g34245,0,0,0,1,0,0,0,0
At1g34260,0,0,0,0,0,0,0,1
At1g34420,0,0,0,0,1,0,1,0
At1g34750,0,0,0,0,0,0,1,1
At1g34770,0,0,0,0,0,0,1,0
At1g35210,0,0,0,0,1,0,1,1
At1g35230,0,0,0,0,1,0,1,0
At1g35513,0,0,0,0,0,1,0,0
At1g35660,0,0,0,1,0,0,0,0
At1g35710,0,0,0,0,1,0,1,0
At1g35720,0,0,0,0,0,1,0,0
At1g36020,1,0,0,0,0,0,0,0
At1g36730,0,0,0,1,0,0,0,0
At1g36940,0,0,0,1,0,0,0,0
At1g41930,1,0,0,0,0,0,0,0
At1g42365,0,0,0,1,0,0,0,0
At1g42980,0,1,0,1,0,0,1,0
At1g42990,0,1,0,0,1,0,1,1
At1g43000,0,0,0,0,0,0,1,0
At1g43160,0,1,0,0,1,0,1,1
At1g43240,0,0,0,1,0,0,0,0
At1g43590,0,0,0,0,0,0,1,0
At1g43650,0,0,0,0,1,1,0,0
At1g43810,0,0,0,0,0,0,0,1
At1g43910,0,0,0,0,0,0,1,0
At1g44100,0,0,0,0,0,0,1,0
At1g44130,0,0,0,0,0,0,1,0
At1g44350,0,1,0,0,0,0,1,1
At1g44414,0,0,0,1,0,0,0,0
At1g44790,0,1,0,0,0,0,0,0
At1g44830,0,0,0,0,0,0,1,0
At1g44970,0,0,0,0,0,0,1,0
At1g45145,0,1,0,0,1,0,1,1
At1g45170,0,0,0,1,0,0,0,0
At1g45616,0,0,0,0,0,0,0,1
At1g45976,0,0,0,1,0,0,0,0
At1g46264,0,0,0,1,0,0,0,0
At1g46768,0,0,0,0,1,0,0,0
At1g47520,1,0,0,0,0,0,0,0
At1g47655,0,0,0,1,0,0,0,0
At1g47890,0,0,0,0,0,0,1,0
At1g47960,0,0,0,0,1,1,0,0
At1g47980,0,0,0,0,0,0,1,0
At1g48100,0,1,0,0,1,1,0,1
At1g48300,0,0,0,0,0,1,0,0
At1g48320,0,0,0,0,1,0,1,0
At1g48360,0,1,0,0,0,0,0,0
At1g48370,0,0,0,0,1,0,0,0
At1g48460,0,0,0,1,0,0,0,0
At1g48510,1,0,0,0,0,0,0,0
At1g48560,0,0,0,1,0,0,0,0
At1g48720,0,0,0,1,0,0,0,0
At1g48910,0,0,0,1,0,0,0,0
At1g48970,0,0,0,0,0,0,1,0
At1g48980,0,0,0,0,0,0,1,0
At1g49000,0,0,0,0,1,0,1,0
At1g49050,0,0,0,0,0,0,1,0
At1g49150,0,0,0,0,0,0,1,0
At1g49170,0,0,0,1,0,0,0,0
At1g49220,1,0,0,0,0,0,0,0
At1g49230,1,0,0,0,0,0,0,0
At1g49450,1,1,0,1,1,1,0,1
At1g49490,1,0,0,0,0,0,0,0
